Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID
"plastic, straw",34.0040742/-117.35485325,-117.3548533,34.0040742,Site 7A,litterati-92684,16/09/2018 01:55:31 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/14198e6f-ffa3-300b-a345-ea8a346dfd95-92684/180x180.jpg,1913905,Plastic,plastic,Straw,straws,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00408513/-117.35483871,-117.3548387,34.00408513,Site 7A,litterati-92684,16/09/2018 01:55:54 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/e8fe918b-7757-3ae4-a3d2-8b8e4df921a6-92684/180x180.jpg,1913906,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, straw, lid",34.0041108/-117.35481991,-117.3548199,34.0041108,Site 7A,litterati-92684,16/09/2018 01:56:16 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/147de014-4ff7-3ee9-8d4c-9abb1759bb52-92684/180x180.jpg,1913907,Paper,paper,Cup,cups,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, straw, lid",34.0041108/-117.35481991,-117.3548199,34.0041108,Site 7A,litterati-92684,16/09/2018 01:56:16 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/147de014-4ff7-3ee9-8d4c-9abb1759bb52-92684/180x180.jpg,1913907,Plastic,plastic,Lid,lids,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, straw, lid",34.0041108/-117.35481991,-117.3548199,34.0041108,Site 7A,litterati-92684,16/09/2018 01:56:16 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/147de014-4ff7-3ee9-8d4c-9abb1759bb52-92684/180x180.jpg,1913907,Plastic,plastic,Straw,straws,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"styrofoam, cup",34.00411884/-117.35483026,-117.3548303,34.00411884,Site 7A,litterati-92684,16/09/2018 01:56:53 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/e316018b-020d-369a-bb00-3c184e94cb58-92684/180x180.jpg,1913911,Plastic,plastic,Foam Cup,cups,Circle K,circle k,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, straw",34.00412368/-117.35481202,-117.354812,34.00412368,Site 7A,litterati-92684,16/09/2018 01:57:27 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/5b8b504d-e1e1-3797-8f44-63d0e37f3350-92684/180x180.jpg,1913914,Plastic,plastic,Straw,straws,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plastic,34.00412508/-117.3548182,-117.3548182,34.00412508,Site 7A,litterati-92684,16/09/2018 01:57:45 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/95ab7c3f-3c05-3481-95c9-c66cbb7db5aa-92684/180x180.jpg,1913916,Plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
styrofoam,34.0041373/-117.35479055,-117.3547906,34.0041373,Site 7A,litterati-92684,16/09/2018 01:57:59 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/2019def9-375a-3b77-8466-a78afdb133b2-92684/180x180.jpg,1913917,Plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"glassbottle, sprite",34.00414207/-117.35478241,-117.3547824,34.00414207,Site 7A,litterati-92684,16/09/2018 01:58:17 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/6c93e3ea-378f-33f0-9a32-8a50c1a571d9-92684/180x180.jpg,1913918,Glass,glass,Bottle,bottles&jars,Sprite,Sprite,1422,The Coca-Cola Company,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
