Manufacturer,Brand,ID
Edgewell Personal Care,Banana Boat,341
Eurospin,Acqua Blues,342
Eurospin,DOLCIANDO,343
Excelo,Momo,344
Excelo,Petit blé,345
Excelo,Silvia,346
Excelo,Top cookies,347
FAGE,FAGE,348
Ferrero,Ferrero Rocher,349
Ferrero,Nutella,350
Ferrero,Raffaello,351
Ferrero,Tic Tac,352
Ferrero,Kinder Surprise,353
Ferrero,Kinder Chocolate,354
Ferrero,Kinder Bueno,355
Ferrero,Ferrero Küsschen,356
Ferrero,Mon Chéri,357
Ferrero,Kinder Joy,358
Ferrero,Kinder,359
Ferrero,Pocket Coffee,360
Ferrero,Mon Chéri,361
Ferrero,Confetteria Raffaello,362
Ferrero,Ferrero Küsschen,363
Ferrero,Butterfinger ,364
Ferrero,Nerds,365
Ferrero,Baby Ruth,366
Ferrero,Jawbreaker,367
Ferrero,Estathé,368
Ferrero,Kinder Joy,369
Ferrero,Lemonhead,370
Ferrero,NOw and Later,371
Ferrero,Ovetto Kinder,372
General Mills,General Mills,373
General Mills,Yoplait,374
General Mills,Betty Crocker,375
General Mills,Bisquick,376
General Mills,Pillsbury,377
General Mills,Chex Mix,378
General Mills,Nature Valley,379
General Mills,Gardetto's,380
General Mills,Cascadian Farms,381
General Mills,Old El Paso,382
General Mills,Annie's,383
General Mills,Totino's,384
General Mills,Progresso,385
General Mills,Fruit By The Foot,386
General Mills,Fruit Roll Up,387
General Mills,General Mills,388
General Mills,Go-Gurt,389
General Mills,Yoplait tubes,390
General Mills,Frubes,391
General Mills,Haagen Dazs,392
General Mills,Larabar,393
General Mills,Lucky Charms,394
GlaxoSmithKline,Abreva,395
GlaxoSmithKline,alli,396
GlaxoSmithKline,Aquafresh,397
GlaxoSmithKline,AstringOSol,398
GlaxoSmithKline,Beechams,399
GlaxoSmithKline,Binaca,400
GlaxoSmithKline,Biotene,401
GlaxoSmithKline,Boost,402
GlaxoSmithKline,Breathe Right,403
GlaxoSmithKline,Cetebe,404
GlaxoSmithKline,Chlorhexamed,405
GlaxoSmithKline,Cholinex,406
GlaxoSmithKline,Citrucel,407
GlaxoSmithKline,Coldrex,408
GlaxoSmithKline,Commit Lozenge,409
GlaxoSmithKline,Committed Quitters,410
GlaxoSmithKline,Corega,411
GlaxoSmithKline,Corsodyl,412
GlaxoSmithKline,Crocin,413
GlaxoSmithKline,Dr. Best,414
GlaxoSmithKline,ENO,415
GlaxoSmithKline,Eumovate,416
GlaxoSmithKline,Fenbid,417
GlaxoSmithKline,Flonase,418
GlaxoSmithKline,Formigran,419
GlaxoSmithKline,Grand-PA,420
GlaxoSmithKline,Hinds,421
GlaxoSmithKline,Horlicks,422
GlaxoSmithKline,Horlicks Promind,423
GlaxoSmithKline,Junior Horlicks,424
GlaxoSmithKline,Iodex,425
GlaxoSmithKline,Iodosan,426
GlaxoSmithKline,Macleans,427
GlaxoSmithKline,Maltova,428
GlaxoSmithKline,Maxinutrition,429
GlaxoSmithKline,Medacalm,430
GlaxoSmithKline,Nicorette,431
GlaxoSmithKline,NiQuitin CQ/ Nicoderm CQ/ Nicabate ,432
GlaxoSmithKline,Odol,433
GlaxoSmithKline,Odol-med3,434
GlaxoSmithKline,Os-cal,435
GlaxoSmithKline,Panadeine,436
GlaxoSmithKline,Panadol,437
GlaxoSmithKline,Parodontax,438
GlaxoSmithKline,Piriton/Piriteze,439
GlaxoSmithKline,Polident,440
GlaxoSmithKline,Poligrip Ultra,441
GlaxoSmithKline,Rutinoscorbin,442
GlaxoSmithKline,Scott's Emulsion,443
GlaxoSmithKline,Sensodyne,444
GlaxoSmithKline,Shumitect,445
GlaxoSmithKline,Solpadeine,446
GlaxoSmithKline,Super Poligrip,447
GlaxoSmithKline,Super Wernet's,448
GlaxoSmithKline,Synthol,449
GlaxoSmithKline,Theraflu,450
GlaxoSmithKline,Tums,451
GlaxoSmithKline,Viva,452
GlaxoSmithKline,Zovirax,453
GlaxoSmithKline,HOrlicks,454
Good Humor-Breyers,Good Humor,455
Good Humor-Breyers,Breyers ,456
Google,Google,457
Goya,Goya,458
Haribo,Haribo,459
Haribo,Starmix,460
Haribo,Tangfastics,461
Haribo,Supermix,462
Haribo,Maoam,463
Hasbro,NERF,464
Hasbro,Hasbro,465
Hasbro,Nerf,466
Heartland Consumer Products,Splenda,467
"Hedinger Brands, LLC",Dad's Root Beer and associated drinks,468
Heineken International,Amstel,469
Heineken International,Heineken,470
Heineken International,Karlovačko,471
Heineken International,Ohota,472
Hershey Company,Hershey,473
Hershey Company,Hershey's,474
Hershey Company,Reese,475
Hershey Company,Skor,476
Hershey Company,Twizzlers,477
Hershey Company,Allan,478
Hershey Company,Jolly Rancher,479
Hershey Company,Whoppers,480
Hershey Company,Ice Breakers,481
Hershey Company,Brookside,482
Hershey Company,Oh Henry!,483
Hershey Company,Glosette,484
Hershey Company,Barkthins,485
Hershey Company,Krave,486
Hershey Company,Pot Of Gold,487
Hershey Company,York,488
Hershey Company,Eat-More,489
Hershey Company,Bridge Mixture,490
Hershey Company,Cherry Blossom,491
Hershey Company,Chipits,492
Hershey Company,Hershey's Kisses,493
Hershey Company,Kit Kat,494
Hershey Company,mounds,495
Hershey Company,Almond Joy,496
Hershey Company,Pelo Rico,497
Hershey Company,Reese,498
Hershey Company,Reese's,499
Hershey Company,Reese's Butter Cup,500
Hershey Company,Reese's Pieces,501
Hershey Company,Amplify Snacks,502
Hershey Company,Skinny Pop,503
Hershey Company,Tyrrell's,504
Hershey Company,Paqui,505
Hershey Company,Heath,506
Hershey Company,Whatchamacallit,507
Hormel Foods Corporation,Hormel,508
Hormel Foods Corporation,Muscle Milk,509
Hormel Foods Corporation,Skippy Peanut Butter,510
Hormel Foods Corporation,Skippy,511
Hostess,Hostess,512
Hostess,Twinkie,513
Hostess,Dolly Madison,514
Hostess,Hickory Sticks,515
Ikea,Ikea,516
Imperial Brands,Ducados,517
Imperial Brands,Brandon's,518
Imperial Brands,Capstan,519
Imperial Brands,Carlton,520
Imperial Brands,Crowns,521
Imperial Brands,Davidoff,522
Imperial Brands,Embassy,523
Imperial Brands,Escort,524
Imperial Brands,Excellence,525
Imperial Brands,Fortuna,526
Imperial Brands,Gauloises,527
Imperial Brands,Gitanes,528
Imperial Brands,Horizon,529
Imperial Brands,John Player & Sons,530
Imperial Brands,John Player Best,531
Imperial Brands,Kool,532
Imperial Brands,L&B,533
Imperial Brands,Lambert & Butler,534
Imperial Brands,Mark Fernyhough,535
Imperial Brands,Maverick,536
Imperial Brands,Moon,537
Imperial Brands,Parker & Simpson,538
Imperial Brands,Peter Stuyvesant,539
Imperial Brands,Prima,540
Imperial Brands,R1,541
Imperial Brands,Regal,542
Imperial Brands,Richmond,543
Imperial Brands,Rodeo,544
Imperial Brands,Route 66,545
Imperial Brands,Royale,546
Imperial Brands,Salem,547
Imperial Brands,Superkings,548
Imperial Brands,USA GOLD,549
Imperial Brands,West,550
Imperial Brands,Winston,551
Imperial Brands,Woodbine,552
Imperial Brands,Winston Salem,553
Imperial Brands,Bali Shag,554
Imperial Brands,Drum,555
Imperial Brands,Golden Virginia,556
Imperial Brands,Players Gold Leaf,557
Imperial Brands,Champion Legendary Ruby,558
Imperial Brands,RizLa,559
Imperial Brands,Tally Ho,560
Imperial Brands,Skruf,561
Imperial Brands,Van Nelle,562
In N Out,In N Out,563
Indofood,Indomie,564
Indofood,Pop Mie,565
Indofood,Sarimi,566
Indofood,Supermi,567
Indofood,Chiki,568
Indofood,Chitato,569
Indofood,Jetz,570
Indofood,Qtela,571
Indofood,Trenz,572
Indofood,Dueto,573
Indofood,Bim,574
Indofood,Indomilk-Bim,575
Indofood,Promina,576
Indofood,Maggi goreng,577
Indofood,Ichi Ocha,578
Indofood,Cafela Latte,579
Indofood,Club,580
Indofood,Tekita,581
Indofood,Fruitamin,582
Indofood,Indomilk,583
Indofood,Indofood,584
Indofood,Indocafe,585
Indofood,indomte,586
Indofood,Sarimie,587
Indofood,Sun,588
J.M. Smuckers,Jif,589
J.M. Smuckers,J.M. Smuckers,590
J.M. Smuckers,Smuckers,591
J.M. Smuckers,Folgers,592
J.M. Smuckers,Knott's,593
JAB Holding Company,Coty Inc,594
JAB Holding Company,Peet's Coffee,595
JAB Holding Company,Mighty Leaf Tea,596
JAB Holding Company,Caribou Coffee,597
JAB Holding Company,Jacobs Douwe Egberts,598
JAB Holding Company,Einstein Bros. Bagels,599
JAB Holding Company,Keurig Dr Pepper,600
JAB Holding Company,Krispy Kreme,601
JAB Holding Company,Panera,602
JAB Holding Company,Bruegger's,603
JAB Holding Company,Pret A Manger,604
Jack in the Box,Jack in the Box,605
Johnson & Johnson,Johnson & Johnson,606
Johnson & Johnson,Aveeno,607
Johnson & Johnson,Band-Aid,608
Johnson & Johnson,Benadryl,609
Johnson & Johnson,Benylin,610
Johnson & Johnson,Clean and Clear,611
Johnson & Johnson,Desitin,612
Johnson & Johnson,Imodium,613
Johnson & Johnson,Baby lotion,614
Johnson & Johnson,Baby powder,615
Johnson & Johnson,Baby wipes,616
Johnson & Johnson,Baby cream,617
Johnson & Johnson,Baby oil,618
Johnson & Johnson,Lactaid,619
Johnson & Johnson,Listerine,620
Johnson & Johnson,Lubriderm,621
Johnson & Johnson,Maui moisture,622
Johnson & Johnson,Motrin,623
Johnson & Johnson,Nicoderm,624
Johnson & Johnson,Nicorette,625
Johnson & Johnson,Nizoral,626
Johnson & Johnson,OGX,627
Johnson & Johnson,Penaten,628
Johnson & Johnson,Pepcid,629
Johnson & Johnson,Polysporin,630
Johnson & Johnson,Reactine,631
Johnson & Johnson,RoC,632
Johnson & Johnson,Rogaine,633
Johnson & Johnson,Sinutab,634
Johnson & Johnson,Sudafed,635
Johnson & Johnson,Tylenol,636
Johnson & Johnson,Visine,637
Johnson & Johnson,neutrOgena ,638
Johnson & Johnson,Purell,639
Johnsonville,Johnsonville,640
Just Born,Mike & Ike's,641
Just Born,Peeps,642
Just Born,Zours,643
Just Born,Hot Tamales,644
Kellogg Company,Kellogg Company,645
Kellogg Company,Cheez-It,646
Kellogg Company,Pop Tarts,647
Kellogg Company,Kashi,648
Kellogg Company,"Bear Naked, Inc.",649
Kellogg Company,Chips Deluxe,650
Kellogg Company,Eggo,651
Kellogg Company,Famous Amos,652
Kellogg Company,Fruit Winders,653
Kellogg Company,Fruity Snacks,654
Kellogg Company,Kashi,655
Kellogg Company,Keebler,656
Kellogg Company,Krave,657
Kellogg Company,Mother's Cookies,658
Kellogg Company,Morningstar Farms,659
Kellogg Company,Club Crackers,660
Kellogg Company,Little Brownie Bakers,661
Kellogg Company,Girl Scout Cookies,662
Kellogg Company,Murray Cookies,663
Kellogg Company,Nutri-Grain,664
Kellogg Company,Pop-Tarts,665
Kellogg Company,Pringles,666
Kellogg Company,Rxbar,667
Kellogg Company,Sunshine Biscuits,668
Kellogg Company,Town House,669
Kellogg Company,Zesta Crackers,670
Kellogg Company,Kellogg,671
Kellogg Company,Nutrigrain,672
Kellogg Company,Rice Krispies,673
Keurig Dr Pepper,Crush,674
Keurig Dr Pepper,Hawaiian Punch,675
Keurig Dr Pepper,Motts,676
Keurig Dr Pepper,Mott's,677
Keurig Dr Pepper,Peñafiel,678
Keurig Dr Pepper,RC Cola,679
Keurig Dr Pepper,Schweppes,680
Keurig Dr Pepper,Snapple,681
Keurig Dr Pepper,Squirt,682
Keurig Dr Pepper,Sunkist,683
Keurig Dr. Pepper,Orangina,684
Keurig Dr. Pepper,Dr. Pepper,685
Keurig Dr. Pepper,Keurig,686
KFC,KFC,687
Kikkoman,Kikkoman,688
Kimberly-Clark,Cottonelle,689
Kimberly-Clark,Depend,690
Kimberly-Clark,GoodNites,691
Kimberly-Clark,Huggies,692
Kimberly-Clark,Little Swimmers,693
Kimberly-Clark,Kleenex,694
Kimberly-Clark,Kotex,695
Kimberly-Clark,Poise,696
Kimberly-Clark,Pull-Ups,697
Kimberly-Clark,Scott,698
Kimberly-Clark,VIVA,699
Kimberly-Clark,scottex,700
Kind,Kind,701
Kisko Products,Mr. Freeze,702
KP Snacks / Intersnack,KP Snacks,703
KP Snacks / Intersnack,Brannigans,704
KP Snacks / Intersnack,Butterkist,705
KP Snacks / Intersnack,Choc Dips,706
KP Snacks / Intersnack,Discos,707
KP Snacks / Intersnack,Frisps,708
KP Snacks / Intersnack,Hula Hoops,709
KP Snacks / Intersnack,KP Jacks,710
KP Snacks / Intersnack,KP Nuts,711
KP Snacks / Intersnack,McCoy's,712
KP Snacks / Intersnack,Nik Naks,713
KP Snacks / Intersnack,Penn State,714
KP Snacks / Intersnack,Phileas Fogg,715
KP Snacks / Intersnack,Pom-Bear,716
KP Snacks / Intersnack,Roysters,717
KP Snacks / Intersnack,Skips,718
KP Snacks / Intersnack,Space Raiders,719
KP Snacks / Intersnack,Velvet Crunch,720
KP Snacks / Intersnack,Wheat Crunchies,721
KP Snacks / Intersnack,KP Skydivers,722
Kraft Heinz,Cadbury,723
Kraft Heinz,Oscar Meyer,724
Kraft Heinz,Heinz,725
Kraft Heinz,Jello,726
Kraft Heinz,Jell-O,727
Kraft Heinz,Kool-Aid,728
Kraft Heinz,Kool Aid,729
Kraft Heinz,Koolaid,730
Kraft Heinz,Kraft,731
Kraft Heinz,Kraft Heinz,732
Kraft Heinz,Lunchable,733
Kraft Heinz,philadelphia,734
Kraft Heinz,Planters,735
Kraft Heinz,Saus Sambal ABC,736
Kraft Heinz,Sonho de Valsa,737
Kraft Heinz,GOlden Circle,738
Land O'Lakes,Land O'Lakes,739
Les Eaux Minérales d'Oulmès ,Bahia,740
Lidl,Milbona,741
Lidl,Floralys,742
Lidl,Saguaro,743
Lidl,SoleVita,744
Lidl,Sondey,745
Lindt,Ghirardelli,746
Lindt,Lindt,747
Lindt,Lindor,748
Linteo,Linteo,749
Living Essentials,5 Hour Energy,750
L'Oreal,Garnier,751
L'Oreal,Kiehl's,752
L'Oreal,Lancome,753
L'Oreal,L'Oreal,754
L'Oreal,Maybelline,755
Mark Anthony International,Mike's Hard Lemonade,756
Mars Incorporated,Uncle Ben's,757
Mars Incorporated,Misfits,758
Mars Incorporated,Natural defence,759
Mars Incorporated,Whiskas,760
Mars Incorporated,Cesar,761
Mars Incorporated,Pedigree,762
Mars Incorporated,Snickers,763
Mars Incorporated,Temptations,764
Mars Incorporated,Maltesers,765
Mars Incorporated,Royal Canin,766
Mars Incorporated,Dove,767
Mars Incorporated,Bounty,768
Mars Incorporated,Nutro,769
Mars Incorporated,Extra,770
Mars Incorporated,3 Musketeers,771
Mars Incorporated,Wrigley's,772
Mars Incorporated,Pay Day,773
Mars Incorporated,5 Gum,774
Mars Incorporated,Twix,775
Mars Incorporated,3 Musketeers,776
Mars Incorporated,Bounty,777
Mars Incorporated,Celebrations,778
Mars Incorporated,Cirku,779
Mars Incorporated,CocoaVia,780
Mars Incorporated,Combos,781
Mars Incorporated,Dolmio,782
Mars Incorporated,Dove,783
Mars Incorporated,Ebly,784
Mars Incorporated,Ethel M,785
Mars Incorporated,FLAVIA,786
Mars Incorporated,Fling,787
Mars Incorporated,Flyte,788
Mars Incorporated,Galaxy,789
Mars Incorporated,Galaxy Bubbles,790
Mars Incorporated,Galaxy Minstrels,791
Mars Incorporated,Galaxy Ripple,792
Mars Incorporated,goodnessKNOWS,793
Mars Incorporated,Kudos,794
Mars Incorporated,M-Azing,795
Mars Incorporated,M&M's,796
Mars Incorporated,M&M,797
Mars Incorporated,Maltesers,798
Mars Incorporated,Marathon,799
Mars Incorporated,Mars,800
Mars Incorporated,Masterfoods,801
Mars Incorporated,Milky Way,802
Mars Incorporated,Minstrels,803
Mars Incorporated,Munch,804
Mars Incorporated,Promite,805
Mars Incorporated,Revels,806
Mars Incorporated,Seeds of Change,807
Mars Incorporated,Snickers,808
Mars Incorporated,Topic,809
Mars Incorporated,Tracker,810
Mars Incorporated,Treets,811
Mars Incorporated,Twix,812
Mars Incorporated,Uncle Ben's Rice,813
Mars Incorporated,5,814
Mars Incorporated,Airwaves,815
Mars Incorporated,Alpine,816
Mars Incorporated,Altoids,817
Mars Incorporated,Big Red,818
Mars Incorporated,Bubble Tape,819
Mars Incorporated,Doublemint,820
Mars Incorporated,Eclipse,821
Mars Incorporated,Eclipse Ice,822
Mars Incorporated,Excel,823
